Timestamp,Worker_ID,Labor Type,PPG_Level,Fatigue_Indicator,Activity_Level
2025-01-01 00:00:00,1,K2,87.26791425062534,0,1
2025-01-01 00:05:00,2,K2,85.52539545747852,1,4
2025-01-01 00:10:00,3,K3,91.52327305920431,0,2
2025-01-01 00:15:00,4,K5,81.7809695515318,1,2
2025-01-01 00:20:00,5,K4,90.26228237212023,0,1
2025-01-01 00:25:00,6,K5,99.90351517967508,0,1
2025-01-01 00:30:00,7,K3,81.44972707860413,0,2
2025-01-01 00:35:00,8,K3,95.7213428911295,1,1
2025-01-01 00:40:00,9,K5,93.62070932404974,0,1
2025-01-01 00:45:00,10,K2,90.64296373877379,1,1
2025-01-01 00:50:00,11,K2,92.6842435954853,1,3
2025-01-01 00:55:00,12,K3,83.1303821288371,1,4
2025-01-01 01:00:00,13,K6,82.34695918237742,1,2
2025-01-01 01:05:00,14,K4,86.08761496932503,0,1
2025-01-01 01:10:00,15,K3,86.65714610789297,0,4
2025-01-01 01:15:00,16,K4,85.14126838003982,1,2
2025-01-01 01:20:00,17,K4,99.80021675112296,0,2
2025-01-01 01:25:00,18,K6,95.08384529044898,0,2
2025-01-01 01:30:00,19,K6,94.61492502823478,0,2
2025-01-01 01:35:00,20,K4,89.48089112123856,0,4
2025-01-01 01:40:00,21,K6,95.59905738418092,1,4
2025-01-01 01:45:00,22,K4,97.15520437734249,0,2
2025-01-01 01:50:00,23,K5,91.2187895362856,1,2
2025-01-01 01:55:00,24,K6,89.84023264027957,0,2
2025-01-01 02:00:00,25,K1,92.31464732417423,1,4
2025-01-01 02:05:00,26,K5,94.89740778846901,1,2
2025-01-01 02:10:00,27,K2,88.0081940712248,1,2
2025-01-01 02:15:00,28,K1,93.15627482817993,0,1
2025-01-01 02:20:00,29,K5,82.54611077705565,0,3
2025-01-01 02:25:00,30,K4,97.4124724767089,0,4
2025-01-01 02:30:00,31,K2,85.17048758889395,1,4
2025-01-01 02:35:00,32,K4,91.35708453158814,0,2
2025-01-01 02:40:00,33,K6,89.11624034172128,1,1
2025-01-01 02:45:00,34,K5,86.79013865674563,0,2
2025-01-01 02:50:00,35,K1,94.98134938553008,1,2
2025-01-01 02:55:00,36,K5,85.85630579558861,0,2
2025-01-01 03:00:00,37,K3,81.89020354270042,1,4
2025-01-01 03:05:00,38,K5,94.28747248544978,0,4
2025-01-01 03:10:00,39,K5,83.69677216116571,0,2
2025-01-01 03:15:00,40,K6,98.14725271275694,1,2
2025-01-01 03:20:00,41,K1,85.54498366941161,0,1
2025-01-01 03:25:00,42,K6,99.00862243231869,0,3
